lead_name,place_id,sector,address,municipality,province,phone,website,source,notes,plant_id,plant_name,plant_power_kw,plant_surplus_pct,distance_km
La Parada de huetor tajar,ChIJ27NzVy8Lcg0RvVkpIsZ9IOY,hostelería,"A-92, Km. 200, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 51 38,http://www.areaslaparada.com/,google_maps_solar,Bar & Grill,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,3.636
Mercadona,ChIJjSdjMt0Kcg0RPYCeex5FtEw,comercio,"C. Ing. Francisco Abellán, 58, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 14 18 51,https://www.mercadona.es/,google_maps_solar,Supermarket,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.226
Área de servicio Vega Poniente,ChIJk8eZ2mYLcg0RPZCsoRuW0_w,hostelería,"A-92, Km200, 18360, 18360 Granada, Spain",,Granada,644 54 10 92,https://vegaponiente.com/pdf/carta-restaurante.pdf,google_maps_solar,Restaurant,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,3.240
Galp,ChIJk_VaACYLcg0Rk0QhlfSFBD4,otro,"A-92, Pk 200,000 Md, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,697 32 33 59,https://galp.com/es/mapa/E3028,google_maps_solar,Gas Station,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,3.586
Fijaplast S.L.,ChIJRdwsw1AKcg0RKNNITkr1fKk,otro,"Av. España, 1, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,628 13 11 31,https://www.fijaplast.com/,google_maps_solar,Manufacturer,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,0.233
Cortijo de Tajar Hotel,ChIJBb_eeVcKcg0R77kXlrdCeDo,otro,"km 203, A-92, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 41 84,https://www.cortijodetajar.es/,google_maps_solar,Hotel,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,0.976
Hotel Vesci Faventia,ChIJ_zveP1sLcg0RYjVRWY7jnjw,otro,"Cortijo Pozo Villa, 37, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,623 12 25 94,http://www.vescifaventia.es/,google_maps_solar,Hotel,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,1.603
Restaurante Atracón Huétor Tájar,ChIJv3Ch3uUKcg0RoP3cPm9XEYI,otro,"Calle Prolongación Ronda Norte, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 29 57,https://atraconhuetor.es/,google_maps_solar,Pizza Delivery,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.804
Riviera Mediterranean Restaurante,ChIJoX4PH3QLcg0RDodq-g0cdgk,hostelería,"P.º la Redonda Sur, 13, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,722 52 25 01,https://rivieramediterranean.es/,google_maps_solar,Restaurant,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,1.850
RESTAURANTE ASADOR PANILLA,ChIJMbB_lu8Kcg0R0iscPef2lRs,hostelería,"C. Fábrica, 18360 Loja, Granada, Spain",Loja,Granada,958 33 22 29,https://restauranteasadorpanilla.shop/,google_maps_solar,Restaurant,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,4.538
Entrevinos Restaurante/Brasería.,ChIJb5Yd_BkLcg0R0vWc4JA9Syo,hostelería,"C. Rafa Nadal, 7, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,858 81 23 39,,google_maps_solar,Restaurant,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.770
bp,ChIJ6e0DRf0Kcg0RbZmJABem7Mc,otro,"GR-4400, A-92, Pk 1, 2, 18300 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 50 39,https://map.bp.com/es-ES/ES/estacion-de-servicio/huetor-tajar/bp-abades-huetor-tajar/512505689,google_maps_solar,Gas Station,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,1.779
Café-Bar Las Tres Calles,ChIJwUqEH8MKcg0Ram213Cy3ntI,hostelería,"C. Constitución, s/n, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 20 79,,google_maps_solar,Bar,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.455
Restaurante pizzería CJ.,ChIJDzz3tAwLcg0Rs12ddELClu4,hostelería,"18360 Huétor-Tájar, Granada, Spain",Huétor-Tájar,Granada,958 49 34 65,,google_maps_solar,Restaurant,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.778
Ayuntamiento de Huétor Tájar,ChIJj0UkeugKcg0RMA6DDbE6Yyg,ayuntamiento,"Pl. Pósito, 11, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 21 11,https://huetortajar.org/,google_maps_solar,City Hall,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.010
CEFERINO CERVERA | Materiales de Construcción en Granada,ChIJ64aRrwILcg0RK6Zgfrsehuw,comercio,"Antigua Crta. Málaga-Granada, Venta Nueva, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,958 33 50 43,https://ceferinocerveraehijos.es/,google_maps_solar,Building Materials Store,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,1.932
LA DESPENSA DE GRANADA,ChIJR1tXKO8Kcg0R6Dx7nmkd4OE,comercio,"C. María Auxiliadora, 23, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,722 78 40 99,https://www.ladespensadegranada.com/,google_maps_solar,Department Store,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,1.893
BUYALLO TABERNA.,ChIJI5ellsMKcg0RSrHkOFc5zE4,hostelería,"C. Rosalía de Castro, 1, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,615 07 79 38,,google_maps_solar,Bar & Grill,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,2.555
Bar El Quini,ChIJA7IrUwALcg0RComS97N-tnU,hostelería,"C. Azorín, 2, 18360 Huétor Tájar, Granada, Spain",Huétor Tájar,Granada,,,google_maps_solar,Restaurant,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,1.912
Albergue Rural Cortijo del Guarda,ChIJse-AQAALcg0Re4piGGdlDno,hostelería,"Casa del Guarda, Lugar Cortijo del Guarda, 1, 18369 Villanueva Mesía, Granada, Spain",Villanueva Mesía,Granada,,https://citysp.cyou/albergue-rural-cortijo-b3nuf6,google_maps_solar,Lodging,cs_huetor_tajar_i,CS Huétor Tájar I,,1.00,3.516
